"","quad","year","trackID","area.t1","area.t0","age","allEdge","distEdgeMin","Group","Grazing"
"133","q23",71,28,555.629,538.3787,24,0,-0.479112327098846,"lb1","No"
"134","q23",71,30,717.9967,1284.1239,21,0,-0.855812072753906,"lb1","No"
"135","q24",43,31,32.52087,23.02851,1,0,28.4730472564697,"lb1","No"
"136","q24",44,31,34.49152,32.52087,2,0,29.2319068908691,"lb1","No"
"137","q24",45,31,78.92684,34.49152,3,0,28.520601272583,"lb1","No"
"138","q24",46,31,143.17,78.92684,4,0,25.7421417236328,"lb1","No"
"139","q24",47,31,203.1753,143.17,5,0,20.722843170166,"lb1","No"
"140","q24",48,31,145.4471,203.1753,6,0,19.560396194458,"lb1","No"
"141","q24",49,31,75.55061,145.4471,7,0,20.878532409668,"lb1","No"
"142","q24",50,31,207.1861,75.55061,8,0,31.1058940887451,"lb1","No"
"143","q24",50,33,37.87227,6.834736,1,0,15.8178405761719,"lb1","No"
"144","q24",51,31,207.086891,207.1861,9,0,26.7284984588623,"lb1","No"
"145","q24",51,33,71.18986,37.87227,2,0,22.1902770996094,"lb1","No"
"146","q24",51,35,17.02576,20.51914,1,0,-0.0734312459826469,"lb1","No"
"147","q24",51,36,44.51796,21.99259,1,0,27.3667144775391,"lb1","No"
"148","q24",51,38,15.4309,7.550363,1,0,25.3361053466797,"lb1","No"
"149","q24",51,39,14.11681,0.7234629,1,0,22.3915710449219,"lb1","No"
"150","q24",51,41,7.766275,1.565503,1,0,13.4081315994263,"lb1","No"
"151","q24",51,42,31.26837,7.181831,1,0,9.8328914642334,"lb1","No"
"152","q24",52,31,239.6464,207.086891,10,0,14.5634231567383,"lb1","No"
"153","q24",52,33,169.1175,71.18986,3,0,21.8059310913086,"lb1","No"
"154","q24",52,36,45.24806,44.51796,2,0,26.1765213012695,"lb1","No"
"155","q24",52,38,15.02941,15.4309,2,0,26.4037551879883,"lb1","No"
"156","q24",52,42,4.154016,31.26837,2,0,4.17920017242432,"lb1","No"
"157","q24",52,61,2.959524,3.870652,1,0,20.0607833862305,"lb1","No"
"158","q24",53,31,237.937,239.6464,11,0,25.5739784240723,"lb1","No"
"159","q24",53,33,137.1056,169.1175,4,0,15.0601119995117,"lb1","No"
"160","q24",53,36,36.15615,45.24806,3,0,22.1134033203125,"lb1","No"
"161","q24",53,38,48.57531,15.02941,3,0,25.9650039672852,"lb1","No"
"162","q24",53,42,16.832427,4.154016,3,0,9.81243801116943,"lb1","No"
"163","q24",54,31,239.3919,237.937,12,0,21.2315635681152,"lb1","No"
"164","q24",54,33,184.6064,137.1056,5,0,20.0103149414062,"lb1","No"
"165","q24",54,35,63.40109,21.50054,4,1,-0.0506631806492805,"lb1","No"
"166","q24",54,36,100.3176,36.15615,4,0,24.1614074707031,"lb1","No"
"167","q24",54,38,108.0476,48.57531,4,0,25.3751220703125,"lb1","No"
"168","q24",54,42,22.79377,16.832427,4,0,2.02482008934021,"lb1","No"
"169","q24",54,66,9.000609,5.975759,1,1,0.700195670127869,"lb1","No"
"170","q24",55,31,303.3957,239.3919,13,0,24.2698135375977,"lb1","No"
"171","q24",55,33,203.475,184.6064,6,0,17.5497665405273,"lb1","No"
"172","q24",55,35,26.57711,63.40109,5,0,-0.0641446560621262,"lb1","No"
"173","q24",55,36,96.86047,100.3176,5,0,23.5138473510742,"lb1","No"
"174","q24",55,38,164.93695,108.0476,5,0,22.0269393920898,"lb1","No"
"175","q24",55,42,44.9366,22.79377,5,0,5.11437559127808,"lb1","No"
"176","q24",56,31,431.1226,303.3957,14,0,21.9167251586914,"lb1","No"
"177","q24",56,33,356.2205,203.475,7,0,20.8884963989258,"lb1","No"
"178","q24",56,35,50.78438,26.57711,6,0,1.2126088142395,"lb1","No"
"179","q24",56,36,69.46737,96.86047,6,0,25.0177230834961,"lb1","No"
"180","q24",56,38,138.5445,164.93695,6,0,12.130729675293,"lb1","No"
"181","q24",56,42,46.26785,44.9366,6,0,3.85042524337769,"lb1","No"
"182","q24",57,31,369.6099,431.1226,15,0,22.3573055267334,"lb1","No"
"183","q24",57,33,323.3842,356.2205,8,0,14.0441207885742,"lb1","No"
"184","q24",57,35,22.88803,50.78438,7,0,-0.233554407954216,"lb1","No"
"185","q24",57,36,125.3615,69.46737,7,0,24.2207794189453,"lb1","No"
"186","q24",57,38,157.2235,138.5445,7,0,21.234748840332,"lb1","No"
"187","q24",57,42,40.43372,46.26785,7,0,4.42088317871094,"lb1","No"
"188","q24",57,65,12.68119,25.82504,6,0,0.762914419174194,"lb1","No"
"189","q24",58,31,304.5139,369.6099,16,0,23.1889533996582,"lb1","No"
"190","q24",58,33,255.301456,323.3842,9,0,15.6393966674805,"lb1","No"
"191","q24",58,35,107.18556,22.88803,8,0,3.54790782928467,"lb1","No"
"192","q24",58,36,66.99928,125.3615,8,0,20.4540481567383,"lb1","No"
"193","q24",58,38,106.9362,157.2235,8,0,21.1272506713867,"lb1","No"
